Wallet Address,Credit Score,Total Deposited,Total Borrowed,Total Repaid,Liquidation Events,Repay Ratio,Deposit/Borrow Ratio,Active Days,Risk Category
0x00296e3cb10f1ddf6be160aa9722d7a288957b66,1000,"47,200,000,000,000,000.00",0.00,0.00,0,0.00,4719999999999999899336704.00,0,Low Risk
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,1000,"2,600,000,000,000,000,000.00",0.00,0.00,0,0.00,260000000000000002080374784.00,3,Low Risk
0x002a63fb3bb81ccc222e2d8192eb95a5767a2151,1000,"1,107,978.00",0.00,0.00,0,0.00,110797800000000.00,0,Low Risk
0x002aea16059a7d4bef638a03b61a9e80ef07e745,996,"1,430,619,659,525,876,875,264.00","674,381,785,819,341,783,040.00","15,406,926.00",0,0.00,2.12,82,Low Risk
0x002bb13a55bf4525f02717708dd4534ecc475193,1000,"3,145,177.00",0.00,0.00,0,0.00,314517700000000.00,0,Low Risk
0x002c77a71d54e6da4b28690fe1676752a74a67eb,1000,"1,151,220.00",0.00,0.00,0,0.00,115122000000000.00,0,Low Risk
0x002cd2707daccbd5f3f192a565fca0a2cea021a6,1000,"1,000,000,000,005,133,952.00","2,726,309.00","2,726,309.00",0,1.00,366796280247.44,18,Low Risk
0x002d2715b179d0db3e17cc28317a98f2f65e6884,1000,"79,326,482,999,890,138,890,240.00","33,426,624,892,930,279,604,224.00","8,000,894,335,516,522,053,632.00",0,0.24,2.37,101,Low Risk
0x002d59b6a7b3483c8c1ef38c90cbe7790aeaea50,1000,"4,674,990,964,187,967.00",0.00,0.00,0,0.00,467499096418796687065088.00,0,Low Risk
0x002dcc4d0ad0bdce1c444ad0bb4d51ac7e61d62b,1000,"15,200,000,000,000,499,122,176.00","4,500,000,000.00","1,380,602,617.00",0,0.31,3377777777777.89,128,Low Risk
0x002de04d579930686698abab5f48bda0b24fb9fc,1000,"9,561,601,228,095,396,773,888.00","42,533,281,825.00","42,583,466,718.00",0,1.00,224802808949.37,80,Low Risk
0x002e5e69ae7c8999834ee24aeb5c26ad05433820,1000,"21,457,000,000,000,001,835,008.00","2,500,000,000,000,000,000,000.00","2,500,000,000,000,000,000,000.00",0,1.00,8.58,0,Low Risk
0x002e7ea05d6721a04cd36ab5e9f2c72338d7f7f3,1000,"15,000,000.00",0.00,0.00,0,0.00,1500000000000000.00,71,Low Risk
0x002eba74e10ff40a1bc1cfa2b9684f9e28f8dea7,1000,"12,183.00",0.00,0.00,0,0.00,1218300000000.00,0,Low Risk
0x002f93d5a1ca66a2a64b490bd0a0291c1a1c02b6,999,"3,811,979,678,649,937,297,408.00","150,000,000,002,912,485,376.00","2,509,969,106.00",0,0.00,25.41,105,Low Risk
0x0030040e8d836ac3e546c354f9b373e70a14deeb,799,0.00,0.00,0.00,0,0.00,0.00,0,Low Risk
0x00301da1d3b20fd6b8451a791a8b1a5e20599fb8,996,"9,647,786,848,111,267,151,872.00","4,950,000,000,006,150,422,528.00",0.00,0,0.00,1.95,40,Low Risk
0x00305f0dc87d6bf12ac07e37ac0d2336d5906b93,1000,"6,764,030,347,976,762.00",0.00,0.00,0,0.00,676403034797676169265152.00,0,Low Risk
0x003064605a8677d5b2e8def620ac67d8f1f1b5ed,1000,"197,000,000.00",0.00,0.00,0,0.00,19700000000000000.00,33,Low Risk
0x003094a91a3b5523bc601b221f80183bd347e9ae,1000,"2,200,000.00",0.00,0.00,0,0.00,220000000000000.00,5,Low Risk
0x0030a2c2268c9faafeae8ea22802db8b3c87f82c,1000,"165,694,780,930,095.00",0.00,0.00,0,0.00,16569478093009500241920.00,0,Low Risk
0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,1000,"94,406,706,290,861,279,281,152.00","54,048,120,000,071,168,163,840.00","54,176,051,704,975,360,786,432.00",0,1.00,1.75,73,Low Risk
0x0030de8f624d2b2513c6dbbff788bb109b80304d,1000,"512,154,521,788,658.00",0.00,0.00,0,0.00,51215452178865794842624.00,0,Low Risk
0x0030e3b40e23f92bd064457fd1fb848482a0bde5,1000,"32,765,593,476.00",0.00,0.00,0,0.00,3276559347600000000.00,0,Low Risk
0x0030ee334630838ea4dee0b4b6ecbc973529031f,999,"4,144,999,999,999,999,737,856.00","550,000,000,003,799,973,888.00","1,806,279,483.00",0,0.00,7.54,74,Low Risk
0x0031fc2cc920357b9767ab93200c5bf69c43e8e7,1000,"1,071,184,911,359,403,264.00",0.00,0.00,0,0.00,107118491135940332183617536.00,0,Low Risk
0x00326e37cef76788f6b0cf643c94481d60bd3d58,1000,"30,000,000,000,000,000,000.00",0.00,0.00,0,0.00,2999999999999999764984758272.00,0,Low Risk
